Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,60,7500,783830.9,154622.66,1,51,54994664.39,59.12%,15369.23333,18401.0502,36,2172,60.32513325
50000-199999,F,Self,Yes,Business,3rd,Married,Aggresive,Nagpur,46,10000,778263.14,0,0,71,55772927.53,59.96%,10961.45268,10961.45268,37,2243,60.61364316
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,46,16000,777010.66,0,0,70,56549938.19,60.79%,11100.15229,11100.15229,38,2313,60.86065255
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,44,9000,725446.95,59385.13,1,91,57275385.14,61.57%,7971.944505,8624.528352,39,2404,61.63345633
50000-199999,M,Self,No,Business,3rd,Married,Aggresive,other,51,5000,671174.72,0,0,36,57946559.86,62.29%,18643.74222,18643.74222,40,2440,60.99261993
50000-199999,F,Self,Yes,Salaried,3rd,Married,Moderate,Nagpur,38,40000,668449.64,0,0,28,58615009.5,63.01%,23873.20143,23873.20143,41,2468,60.18792188
0-49999,F,Self,No,Salaried,1st,Single,Moderate,Nagpur,27,10000,658863.85,0,0,50,59273873.35,63.72%,13177.277,13177.277,42,2518,59.94535231
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,41,0,657101.07,0,0,49,59930974.42,64.43%,13426.40353,13426.40353,43,2567,59.6894362
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,48,5000,619323.7,55572.45,1,45,60550298.12,65.09%,13762.74889,14997.69222,44,2612,59.35558537
0-49999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,50,5000,615785.52,0,0,72,61166083.64,65.76%,8552.576667,8552.576667,45,2684,59.63657237
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,33,0,580636.62,0,0,49,61746720.26,66.38%,11864.02202,11864.02202,46,2733,59.40405904
50000-199999,F,Self,No,Salaried,1st,Married,Moderate,Nagpur,55,3000,551330.55,0,0,84,62298050.81,66.97%,6563.458929,6563.458929,47,2817,59.92737693
0-49999,F,Alias,Yes,Salaried,3rd,Married,Moderate,Nagpur,45,15000,545300.79,10000,1,61,62843351.6,67.56%,8939.357213,9103.291639,48,2878,59.94972325
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,59,5000,527521.48,0,0,10,63370873.08,68.13%,52752.148,52752.148,49,2888,58.93034114
50000-199999,M,Self,Yes,Salaried,1st,Married,Aggresive,Nagpur,34,0,521964.28,0,0,86,63892837.36,68.69%,6069.352093,6069.352093,50,2974,59.47173432
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,55,4000,504384.21,0,0,86,64397221.57,69.23%,5864.932674,5864.932674,51,3060,59.99189639
50000-199999,F,Self,No,Business,1st,Married,Aggresive,other,49,0,499777.74,0,0,84,64896999.31,69.77%,5949.735,5949.735,52,3144,60.45359069
0-49999,F,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,42,10000,444361.68,60915.7,2,78,65341360.99,70.24%,5696.944615,6477.915128,53,3222,60.78465502
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,65,2000,440395.17,0,0,91,65781756.16,70.72%,4839.507363,4839.507363,54,3313,61.34419844
0-49999,F,Self,Yes,Salaried,1st,Married,Aggresive,Nagpur,30,0,434722.53,500776.34,10,91,66216478.69,71.18%,4777.170659,10280.20736,55,3404,61.88339483
50000-199999,F,Self,Yes,Business,2nd,Married,Moderate,other,39,10000,431700.1,0,0,35,66648178.79,71.65%,12334.28857,12334.28857,56,3439,61.40333421
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,Nagpur,54,12000,426292.06,770772.26,20,92,67074470.85,72.11%,4633.609348,13011.5687,57,3531,61.94011782
0-49999,F,Alias,Yes,Business,2nd,Married,Aggresive,Nagpur,42,15000,423791.34,0,0,18,67498262.19,72.56%,23543.96333,23543.96333,58,3549,61.18252958
0-49999,F,Self,No,Business,2nd,Married,Aggresive,Nagpur,62,6000,420288.49,0,0,58,67918550.68,73.01%,7246.353276,7246.353276,59,3607,61.1285884
200000-499999,M,Self,Yes,Salaried,1st,Married,Moderate,other,52,5500,410577.81,0,0,51,68329128.49,73.46%,8050.545294,8050.545294,60,3658,60.9597786
50000-199999,F,Self,Yes,Salaried,1st,Married,Moderate,other,30,16000,410370.15,64133.27,3,42,68739498.64,73.90%,9770.717857,11297.70048,61,3700,60.64896256
50000-199999,F,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,56,4000,406082.13,0,0,84,69145580.77,74.33%,4834.311071,4834.311071,62,3784,61.02559219
0-49999,F,Self,Yes,Salaried,2nd,Married,Aggresive,Nagpur,36,0,405574.99,20000,1,49,69551155.76,74.77%,8287.025732,8695.681391,63,3833,60.83377262
50000-199999,F,Self,No,Salaried,2nd,Married,Aggresive,Nagpur,31,20000,376740.63,0,0,14,69927896.39,75.17%,26910.045,26910.045,64,3847,60.10199493
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,37,0,371783.52,0,0,60,70299679.91,75.57%,6196.392,6196.392,65,3907,60.10042577
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,Nagpur,47,10000,344336.33,0,0,29,70644016.24,75.94%,11873.66655,11873.66655,66,3936,59.6292072
50000-199999,M,Self,Yes,Business,1st,Married,Aggresive,other,59,10000,344111.05,0,0,35,70988127.29,76.31%,9831.744286,9831.744286,67,3971,59.26160709
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,45,3000,336127.57,190000,3,73,71324254.86,76.68%,4604.48726,7207.226986,68,4044,59.46364228
50000-199999,F,Self,Yes,Salaried,1st,Married,Moderate,other,31,5000,334823.48,0,0,67,71659078.34,77.04%,4997.365373,4997.365373,69,4111,59.57286486
0-49999,F,Alias,Yes,Business,1st,Married,Moderate,Nagpur,43,3000,333882.44,200000,2,84,71992960.78,77.39%,3974.790952,6355.743333,70,4195,59.92182393
0-49999,F,Self,Yes,Business,2nd,Married,Moderate,Nagpur,44,8000,333228.49,212960.2,4,26,72326189.27,77.75%,12816.48038,21007.25731,71,4221,59.44405176
0-49999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,54,6000,326405.53,209000,4,87,72652594.8,78.10%,3751.787701,6154.086552,72,4308,59.82677327
500000 and above,M,Self,Yes,Salaried,1st,Single,Moderate,Nagpur,27,2500,318786,0,0,82,72971380.8,78.45%,3887.634146,3887.634146,73,4390,60.1305161
50000-199999,F,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,38,5000,305711.45,0,0,47,73277092.25,78.78%,6504.498936,6504.498936,74,4437,59.95307669
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,43,3000,305298.94,0,0,31,73582391.19,79.10%,9848.352903,9848.352903,75,4468,59.56703567
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,34,13000,304749.5,108007.17,4,87,73887140.69,79.43%,3502.867816,4744.32954,76,4555,59.92799573
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,51,5000,299905.3,100144.87,2,43,74187045.99,79.75%,6974.54186,9303.492326,77,4598,59.70815163
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,57,0,297528.73,0,0,91,74484574.72,80.07%,3269.546484,3269.546484,78,4689,60.10932917
50000-199999,M,Self,Yes,Salaried,1st,Married,Aggresive,Nagpur,47,7000,288164.75,259427.07,9,92,74772739.47,80.38%,3132.225543,5952.085,79,4781,60.51300855
50000-199999,M,Self,Yes,Salaried,2nd,Single,Moderate,other,25,19000,278556.42,0,0,37,75051295.89,80.68%,7528.551892,7528.551892,80,4818,60.21909594
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,40,10000,271021.85,0,0,46,75322317.74,80.97%,5891.779348,5891.779348,81,4864,60.04355155
0-49999,F,Alias,No,Salaried,2nd,Married,Moderate,Nagpur,41,0,269302.22,0,0,49,75591619.96,81.26%,5502.593804,5502.593804,82,4912,59.90815408
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,62,2000,266602.53,36000,1,91,75858222.49,81.55%,2929.698132,3325.302527,83,5003,60.28275463
50000-199999,M,Self,Yes,Salaried,1st,Married,Moderate,other,40,2000,261794.05,0,0,84,76120016.54,81.83%,3116.595833,3116.595833,84,5087,60.56510279
0-49999,M,Self,Yes,Business,1st,Married,Moderate,other,42,4500,259334.59,44933.13,1,90,76379351.13,82.11%,2881.495444,3380.752444,85,5177,60.9113957
50000-199999,F,Self,No,Business,1st,Married,Aggresive,Nagpur,56,6000,259301.31,0,0,25,76638652.44,82.39%,10372.0524,10372.0524,86,5202,60.49382133
50000-199999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,28,20000,255712.02,0,0,19,76894364.46,82.66%,13458.52737,13458.52737,87,5221,60.01688086
50000-199999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,65,2000,248062.36,0,0,82,77142426.82,82.93%,3025.150732,3025.150732,88,5303,60.26668903
50000-199999,F,Self,Yes,Business,1st,Married,Aggresive,Nagpur,46,24500,247603.89,1024464.42,21,68,77390030.71,83.20%,3641.233676,18706.88691,89,5371,60.35358017
50000-199999,M,Self,Yes,Business,2nd,Married,Aggresive,other,39,3000,245284.05,0,0,56,77635314.76,83.46%,4380.072321,4380.072321,90,5427,60.30520705
0-49999,M,Alias,No,Business,3rd,Single,Moderate,Nagpur,22,4000,237891.78,0,0,34,77873206.54,83.72%,6996.817059,6996.817059,91,5461,60.01613884
0-49999,F,Self,No,Business,2nd,Married,Conservative,other,77,0,237398.52,0,0,49,78110605.06,83.97%,4850.712427,4850.712427,92,5510,59.89575646
0-49999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,41,0,233480.88,0,0,49,78344085.94,84.22%,4770.664139,4770.664139,93,5559,59.77796294
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,50,3000,229162.1,0,0,41,78573248.04,84.47%,5589.319512,5589.319512,94,5600,59.57819738
0-49999,M,Self,No,Business,2nd,Single,Aggresive,Nagpur,21,5000,227678.52,0,0,19,78800926.56,84.71%,11983.08,11983.08,95,5619,59.15105846
0-49999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,49,2000,224481.42,73177.27,4,89,79025407.98,84.95%,2522.263146,3344.479663,96,5708,59.46198493
0-49999,M,Self,Yes,Salaried,2nd,Married,Moderate,Nagpur,31,2000,223078,44843.7,1,60,79248485.98,85.19%,3717.966667,4465.361667,97,5768,59.46753148
